year,payer_sic2digit,payer_ITL1,payee_sic2digit,payee_ITL1,pounds,num_transactions,payer_ITL1name,payee_ITL1name,sectioncode_payer,sectionname_payer,sectioncode_payee,sectionname_payee
2025-01-01,22,E12000004,45,E12000007,71000,0,East Midlands,London,C (10-33),Manufacturing,G (45-47),Wholesale and retail trade; repair of motor vehicles
2023-01-01,94,E12000007,49,E12000009,6000,0,London,South West,S (94-96),Other service activities,H (49-53),Transportation and storage
2019-01-01,42,E12000003,9,E12000003,31000,0,Yorkshire and The Humber,Yorkshire and The Humber,F (41-43),Construction,B (5-9),Mining and quarrying
2020-01-01,81,E12000005,41,S99999999,1000,0,West Midlands,Scotland,N (77-82),Administrative and support service activities,F (41-43),Construction
2024-01-01,77,E12000001,43,E12000006,728000,0,North East,East of England,N (77-82),Administrative and support service activities,F (41-43),Construction
2021-01-01,27,E12000005,71,E12000002,193000,0,West Midlands,North West,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2022-01-01,68,E12000003,56,E12000006,299000,0,Yorkshire and The Humber,East of England,L (68),Real estate activities,I (55-56),Accommodation and food service activities
2019-01-01,93,E12000003,49,E12000003,414000,0,Yorkshire and The Humber,Yorkshire and The Humber,R (90-93),"Arts, entertainment and recreation",H (49-53),Transportation and storage
2023-01-01,58,E12000008,77,E12000005,78000,0,South East,West Midlands,J (58-63),Information and communication,N (77-82),Administrative and support service activities
2025-01-01,32,E12000007,27,E12000006,57000,0,London,East of England,C (10-33),Manufacturing,C (10-33),Manufacturing
2024-01-01,94,E12000009,94,E12000007,4560000,0,South West,London,S (94-96),Other service activities,S (94-96),Other service activities
2025-01-01,50,E12000002,0,E12000007,989000,0,North West,London,H (49-53),Transportation and storage,NA,NA
2019-01-01,69,S99999999,86,S99999999,1038000,1200,Scotland,Scotland,M (69-75),"Professional, scientific and technical activities",Q (86-88),Human health and social work activities
2021-01-01,10,E12000004,17,E12000002,11896000,0,East Midlands,North West,C (10-33),Manufacturing,C (10-33),Manufacturing
2025-01-01,87,E12000002,69,E12000009,423000,0,North West,South West,Q (86-88),Human health and social work activities,M (69-75),"Professional, scientific and technical activities"
2021-01-01,49,S99999999,50,E12000007,58000,0,Scotland,London,H (49-53),Transportation and storage,H (49-53),Transportation and storage
2019-01-01,32,E12000005,0,E12000004,3283000,1300,West Midlands,East Midlands,C (10-33),Manufacturing,NA,NA
2020-01-01,52,E12000008,85,E12000008,402000,0,South East,South East,H (49-53),Transportation and storage,P (85),Education
2020-01-01,46,N99999999,70,E12000009,121000,0,Northern Ireland,South West,G (45-47),Wholesale and retail trade; repair of motor vehicles,M (69-75),"Professional, scientific and technical activities"
2020-01-01,46,E12000009,86,E12000009,877000,1100,South West,South West,G (45-47),Wholesale and retail trade; repair of motor vehicles,Q (86-88),Human health and social work activities
2020-01-01,58,E12000008,43,E12000009,216000,0,South East,South West,J (58-63),Information and communication,F (41-43),Construction
2024-01-01,42,E12000009,74,E12000005,343000,0,South West,West Midlands,F (41-43),Construction,M (69-75),"Professional, scientific and technical activities"
2020-01-01,28,E12000003,43,E12000002,1529000,0,Yorkshire and The Humber,North West,C (10-33),Manufacturing,F (41-43),Construction
2020-01-01,68,E12000007,38,E12000008,1592000,2000,London,South East,L (68),Real estate activities,E (36-39),Water supply; sewerage and waste management
2024-01-01,62,W99999999,63,E12000009,306000,0,Wales,South West,J (58-63),Information and communication,J (58-63),Information and communication
2023-01-01,68,E12000008,75,E12000006,53000,200,South East,East of England,L (68),Real estate activities,M (69-75),"Professional, scientific and technical activities"
2023-01-01,55,E12000005,81,E12000002,150000,0,West Midlands,North West,I (55-56),Accommodation and food service activities,N (77-82),Administrative and support service activities
2019-01-01,59,E12000008,93,E12000006,159000,0,South East,East of England,J (58-63),Information and communication,R (90-93),"Arts, entertainment and recreation"
2022-01-01,55,E12000002,66,E12000002,142000,0,North West,North West,I (55-56),Accommodation and food service activities,K (64-66),Financial and insurance activities
2023-01-01,41,E12000008,74,S99999999,964000,100,South East,Scotland,F (41-43),Construction,M (69-75),"Professional, scientific and technical activities"
2020-01-01,68,E12000006,77,E12000002,235000,0,East of England,North West,L (68),Real estate activities,N (77-82),Administrative and support service activities
2024-01-01,65,E12000008,73,E12000006,22000,0,South East,East of England,K (64-66),Financial and insurance activities,M (69-75),"Professional, scientific and technical activities"
2025-01-01,64,E12000007,13,E12000007,7697000,6100,London,London,K (64-66),Financial and insurance activities,C (10-33),Manufacturing
2022-01-01,68,E12000006,93,E12000003,120000,900,East of England,Yorkshire and The Humber,L (68),Real estate activities,R (90-93),"Arts, entertainment and recreation"
2020-01-01,78,E12000006,42,E12000003,210000,0,East of England,Yorkshire and The Humber,N (77-82),Administrative and support service activities,F (41-43),Construction
2025-01-01,35,E12000009,74,E12000006,312000,0,South West,East of England,D (35),"Electricity, gas, steam and air conditioning supply",M (69-75),"Professional, scientific and technical activities"
2023-01-01,71,E12000008,47,E12000009,1810000,1200,South East,South West,M (69-75),"Professional, scientific and technical activities",G (45-47),Wholesale and retail trade; repair of motor vehicles
2019-01-01,43,W99999999,69,E12000006,260000,0,Wales,East of England,F (41-43),Construction,M (69-75),"Professional, scientific and technical activities"
2019-01-01,94,E12000005,43,E12000003,3000,0,West Midlands,Yorkshire and The Humber,S (94-96),Other service activities,F (41-43),Construction
2019-01-01,28,S99999999,47,E12000004,19000,0,Scotland,East Midlands,C (10-33),Manufacturing,G (45-47),Wholesale and retail trade; repair of motor vehicles
2020-01-01,43,E12000003,22,E12000004,4693000,600,Yorkshire and The Humber,East Midlands,F (41-43),Construction,C (10-33),Manufacturing
2022-01-01,82,E12000002,33,N99999999,16000,0,North West,Northern Ireland,N (77-82),Administrative and support service activities,C (10-33),Manufacturing
2022-01-01,26,E12000005,32,E12000002,245000,0,West Midlands,North West,C (10-33),Manufacturing,C (10-33),Manufacturing
2025-01-01,82,E12000007,33,W99999999,5886000,2900,London,Wales,N (77-82),Administrative and support service activities,C (10-33),Manufacturing
2021-01-01,56,E12000001,74,E12000003,78000,0,North East,Yorkshire and The Humber,I (55-56),Accommodation and food service activities,M (69-75),"Professional, scientific and technical activities"
2022-01-01,93,E12000004,62,E12000003,338000,1200,East Midlands,Yorkshire and The Humber,R (90-93),"Arts, entertainment and recreation",J (58-63),Information and communication
2024-01-01,77,S99999999,47,S99999999,1279000,1200,Scotland,Scotland,N (77-82),Administrative and support service activities,G (45-47),Wholesale and retail trade; repair of motor vehicles
2023-01-01,49,E12000003,63,E12000004,45000,0,Yorkshire and The Humber,East Midlands,H (49-53),Transportation and storage,J (58-63),Information and communication
2019-01-01,1,E12000007,74,E12000002,113000,0,London,North West,A (1-3),"Agriculture, forestry and fishing",M (69-75),"Professional, scientific and technical activities"
2024-01-01,36,E12000006,62,E12000007,608000,300,East of England,London,E (36-39),Water supply; sewerage and waste management,J (58-63),Information and communication
2021-01-01,56,S99999999,74,E12000007,611000,100,Scotland,London,I (55-56),Accommodation and food service activities,M (69-75),"Professional, scientific and technical activities"
2023-01-01,30,E12000005,96,E12000009,12000,0,West Midlands,South West,C (10-33),Manufacturing,S (94-96),Other service activities
2023-01-01,94,S99999999,18,S99999999,106000,0,Scotland,Scotland,S (94-96),Other service activities,C (10-33),Manufacturing
2022-01-01,88,S99999999,63,S99999999,79000,0,Scotland,Scotland,Q (86-88),Human health and social work activities,J (58-63),Information and communication
2024-01-01,49,E12000005,68,E12000009,1571000,0,West Midlands,South West,H (49-53),Transportation and storage,L (68),Real estate activities
2021-01-01,42,S99999999,58,E12000008,4000,0,Scotland,South East,F (41-43),Construction,J (58-63),Information and communication
2019-01-01,17,E12000005,25,E12000005,689000,0,West Midlands,West Midlands,C (10-33),Manufacturing,C (10-33),Manufacturing
2024-01-01,45,E12000002,62,W99999999,16000,0,North West,Wales,G (45-47),Wholesale and retail trade; repair of motor vehicles,J (58-63),Information and communication
2022-01-01,72,E12000007,70,E12000003,586000,0,London,Yorkshire and The Humber,M (69-75),"Professional, scientific and technical activities",M (69-75),"Professional, scientific and technical activities"
2019-01-01,66,E12000008,77,E12000001,22000,0,South East,North East,K (64-66),Financial and insurance activities,N (77-82),Administrative and support service activities
2024-01-01,70,E12000007,80,E12000001,48000,0,London,North East,M (69-75),"Professional, scientific and technical activities",N (77-82),Administrative and support service activities
2023-01-01,1,E12000008,64,E12000009,741000,1200,South East,South West,A (1-3),"Agriculture, forestry and fishing",K (64-66),Financial and insurance activities
2020-01-01,63,E12000002,90,E12000007,168000,0,North West,London,J (58-63),Information and communication,R (90-93),"Arts, entertainment and recreation"
2020-01-01,38,E12000002,49,E12000001,126000,0,North West,North East,E (36-39),Water supply; sewerage and waste management,H (49-53),Transportation and storage
2024-01-01,96,E12000005,1,E12000004,1773000,0,West Midlands,East Midlands,S (94-96),Other service activities,A (1-3),"Agriculture, forestry and fishing"
2024-01-01,2,E12000007,0,E12000009,14000,0,London,South West,A (1-3),"Agriculture, forestry and fishing",NA,NA
2023-01-01,52,E12000002,22,E12000002,384000,0,North West,North West,H (49-53),Transportation and storage,C (10-33),Manufacturing
2025-01-01,90,E12000009,85,E12000005,79000,0,South West,West Midlands,R (90-93),"Arts, entertainment and recreation",P (85),Education
2020-01-01,96,E12000007,31,E12000007,1941000,400,London,London,S (94-96),Other service activities,C (10-33),Manufacturing
2024-01-01,68,E12000009,93,E12000007,576000,2400,South West,London,L (68),Real estate activities,R (90-93),"Arts, entertainment and recreation"
2021-01-01,41,W99999999,68,E12000009,230000,0,Wales,South West,F (41-43),Construction,L (68),Real estate activities
2021-01-01,82,E12000002,63,E12000008,3842000,1200,North West,South East,N (77-82),Administrative and support service activities,J (58-63),Information and communication
2021-01-01,47,E12000005,24,E12000005,1319000,0,West Midlands,West Midlands,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2023-01-01,42,E12000008,25,E12000005,2790000,0,South East,West Midlands,F (41-43),Construction,C (10-33),Manufacturing
2020-01-01,47,E12000004,33,W99999999,32000,0,East Midlands,Wales,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2019-01-01,86,E12000003,25,E12000009,85000,0,Yorkshire and The Humber,South West,Q (86-88),Human health and social work activities,C (10-33),Manufacturing
2022-01-01,23,W99999999,82,E12000005,55000,0,Wales,West Midlands,C (10-33),Manufacturing,N (77-82),Administrative and support service activities
2019-01-01,74,E12000007,23,E12000008,501000,0,London,South East,M (69-75),"Professional, scientific and technical activities",C (10-33),Manufacturing
2024-01-01,88,E12000005,63,E12000009,8000,0,West Midlands,South West,Q (86-88),Human health and social work activities,J (58-63),Information and communication
2019-01-01,18,E12000003,73,E12000002,36000,0,Yorkshire and The Humber,North West,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2025-01-01,94,E12000002,86,E12000004,2000,0,North West,East Midlands,S (94-96),Other service activities,Q (86-88),Human health and social work activities
2023-01-01,45,E12000008,41,E12000008,16535000,2000,South East,South East,G (45-47),Wholesale and retail trade; repair of motor vehicles,F (41-43),Construction
2024-01-01,82,E12000007,90,E12000008,150616000,19600,London,South East,N (77-82),Administrative and support service activities,R (90-93),"Arts, entertainment and recreation"
2024-01-01,58,E12000006,74,E12000009,112000,0,East of England,South West,J (58-63),Information and communication,M (69-75),"Professional, scientific and technical activities"
2022-01-01,68,E12000008,58,E12000003,102000,0,South East,Yorkshire and The Humber,L (68),Real estate activities,J (58-63),Information and communication
2023-01-01,1,E12000003,56,S99999999,13000,0,Yorkshire and The Humber,Scotland,A (1-3),"Agriculture, forestry and fishing",I (55-56),Accommodation and food service activities
2019-01-01,87,E12000006,1,E12000007,191000,0,East of England,London,Q (86-88),Human health and social work activities,A (1-3),"Agriculture, forestry and fishing"
2025-01-01,38,E12000004,71,E12000002,15000,0,East Midlands,North West,E (36-39),Water supply; sewerage and waste management,M (69-75),"Professional, scientific and technical activities"
2019-01-01,46,E12000001,62,E12000001,2068000,1200,North East,North East,G (45-47),Wholesale and retail trade; repair of motor vehicles,J (58-63),Information and communication
2022-01-01,49,E12000008,10,S99999999,10000,0,South East,Scotland,H (49-53),Transportation and storage,C (10-33),Manufacturing
2024-01-01,21,E12000009,71,E12000009,25000,0,South West,South West,C (10-33),Manufacturing,M (69-75),"Professional, scientific and technical activities"
2021-01-01,59,E12000008,26,E12000008,254000,0,South East,South East,J (58-63),Information and communication,C (10-33),Manufacturing
2021-01-01,78,E12000007,94,E12000009,8000,0,London,South West,N (77-82),Administrative and support service activities,S (94-96),Other service activities
2023-01-01,41,E12000008,86,E12000003,577000,0,South East,Yorkshire and The Humber,F (41-43),Construction,Q (86-88),Human health and social work activities
2023-01-01,82,E12000007,38,E12000008,39337000,14100,London,South East,N (77-82),Administrative and support service activities,E (36-39),Water supply; sewerage and waste management
2022-01-01,0,N99999999,10,E12000008,1234000,0,Northern Ireland,South East,NA,NA,C (10-33),Manufacturing
2025-01-01,13,E12000003,0,E12000003,1212000,0,Yorkshire and The Humber,Yorkshire and The Humber,C (10-33),Manufacturing,NA,NA
2021-01-01,86,E12000009,49,E12000002,625000,600,South West,North West,Q (86-88),Human health and social work activities,H (49-53),Transportation and storage
2022-01-01,66,E12000002,56,E12000002,29000,0,North West,North West,K (64-66),Financial and insurance activities,I (55-56),Accommodation and food service activities
2022-01-01,56,W99999999,56,E12000009,2606000,2400,Wales,South West,I (55-56),Accommodation and food service activities,I (55-56),Accommodation and food service activities
2024-01-01,42,S99999999,81,E12000002,36000,0,Scotland,North West,F (41-43),Construction,N (77-82),Administrative and support service activities
2024-01-01,33,N99999999,43,E12000005,131000,0,Northern Ireland,West Midlands,C (10-33),Manufacturing,F (41-43),Construction
2022-01-01,56,S99999999,81,E12000004,102000,400,Scotland,East Midlands,I (55-56),Accommodation and food service activities,N (77-82),Administrative and support service activities
2021-01-01,38,E12000004,62,E12000003,258000,0,East Midlands,Yorkshire and The Humber,E (36-39),Water supply; sewerage and waste management,J (58-63),Information and communication
2025-01-01,47,S99999999,22,E12000008,1372000,0,Scotland,South East,G (45-47),Wholesale and retail trade; repair of motor vehicles,C (10-33),Manufacturing
2025-01-01,11,E12000003,47,E12000004,146000,0,Yorkshire and The Humber,East Midlands,C (10-33),Manufacturing,G (45-47),Wholesale and retail trade; repair of motor vehicles
2019-01-01,33,E12000009,27,E12000008,489000,0,South West,South East,C (10-33),Manufacturing,C (10-33),Manufacturing
2019-01-01,56,N99999999,32,N99999999,258000,0,Northern Ireland,Northern Ireland,I (55-56),Accommodation and food service activities,C (10-33),Manufacturing
2021-01-01,93,S99999999,58,E12000004,28000,0,Scotland,East Midlands,R (90-93),"Arts, entertainment and recreation",J (58-63),Information and communication
2019-01-01,43,E12000002,42,E12000009,1096000,0,North West,South West,F (41-43),Construction,F (41-43),Construction
